TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
arraigning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
arrant,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
arrested,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
arresting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
arrhythmic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
arrogant,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
arrogative,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
arrowy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
artful,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
articulate,Allport Odbert - Column III,Norman - category 1; form 4,not included,included,,,,,,,,
artificial,Allport Odbert - Column III,not included,included,not included,,,,,,,,
artistic,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
artless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
asbestive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ascendant,Allport Odbert - Column I,Norman - category 2; form 1,not included,included,,,,,,,,
ascensive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ascetic,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
asexual,Allport Odbert - Column IV,Norman - category 2; form 3,not included,not included,,,,,,,,
ashamed,Allport Odbert - Column II,not included,included,not included,,,,,,,,
ashen,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
asinine,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
asocial,Allport Odbert - Column III,Norman - category 2; form 4,not included,included,,,,,,,,
asomatous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aspectable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
aspen,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
asperate,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
aspersive,Allport Odbert - Column I,Norman - category 2; form 5,not included,not included,,,,,,,,
asperulous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aspiring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assailing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assaulting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assembler,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
assentator,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
assentient,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
assertive,Allport Odbert - Column I,Norman - category 1; form 2,not included,included,,,,,,,,
asseverative,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
assiduous,Allport Odbert - Column I,Norman - category 2; form 3,not included,not included,,,,,,,,
assimilable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
assimilative,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
assish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
assistful,Allport Odbert - Column I,Norman - category 3; form 5,not included,not included,,,,,,,,
assisting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assistive,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
assuaged,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assuaging,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assuasive,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
assuming,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
assumptive,Allport Odbert - Column III,Norman - category 3; form 2,not included,not included,,,,,,,,
assured,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
assuring,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
astatic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
asthenic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
astonished,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
astonishing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
astonying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
astounded,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
astounding,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
astral,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
astricted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
astrictive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
astringent,Allport Odbert - Column IV,Norman - category 3; form 4,not included,not included,,,,,,,,
astrut,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
astucious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
astute,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
asymmetric,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
atactic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
atavistic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
atemporal,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
atheist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
atheistic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
athletic,Allport Odbert - Column IV,not included,included,not included,,,,,,,,
Atlantean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
atomical,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
atoning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
atopic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
atrabilious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
atramentous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
atrocious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attached,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
attaching,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attacking,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attaining,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attainting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attemperate,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attempered,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attempering,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attentive,Allport Odbert - Column II,not included,included,not included,,,,,,,,
attenuated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attesting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attitudinizing,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
attracted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attracting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
attractive,Allport Odbert - Column III,not included,included,not included,,,,,,,,
attrahent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
attrite,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
atypical,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
au fait,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
audacious,Allport Odbert - Column III,Norman - category 2; form 2,not included,included,,,,,,,,
audient,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
augural,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
august,Allport Odbert - Column III,Norman - category 2; form 3,not included,not included,,,,,,,,
Augustinian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
auld-farrant,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
aulic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
auriferous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aurivorous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
auspicious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
austere,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
authentic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
authoritative,Allport Odbert - Column I,Norman - category 3; form 5,not included,included,,,,,,,,
autistic,not included,Norman - category 2; form 13,not included,not included,,,,,,,,
autochthonous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
autocratic,Allport Odbert - Column I,Norman - category 2; form 1,not included,included,,,,,,,,
autodynamic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
automatic,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
automaton,Allport Odbert - Column III,Norman - category 3; form 2,not included,not included,,,,,,,,
autonoetic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
autonomous,Allport Odbert - Column I,Norman - category 2; form 3,not included,included,,,,,,,,
autumnal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
avaricious,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
avenging,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
average,Allport Odbert - Column III,not included,included,not included,,,,,,,,
averse,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
averted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
avian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
avid,Allport Odbert - Column I,Norman - category 1; form 5,not included,not included,,,,,,,,
avoided,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
avoiding,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
avuncular,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
