TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
overstudious,1.60,897,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,showing too much care or attention.,34,,,,,
oversubtle,1.00,898,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,"overly delicate, crafty, or cunning.",34,,,,,
oversuspicious,1.80,899,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,having or showing too much cautious distrust of someone or something.,68,,,,,
overtalkative,3.40,900,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,too chatty.,30,,,,,
overthoughtful,1.80,901,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,showing too much consideration for the needs of other people.,60,,,,,
overtolerant,NA,NA,new,nope,nope,new,NA,excessively willing to indulge the opinions or behaviors of others.,67,,,,,
overtrained,1.80,902,Norman - category 3; form 6,nope,yes,Allport Odbert - Column IV,NA,overly prepared.,26,,,,,
overtrusting,2.50,903,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,too readily believing in a person's honesty or sincerity.,40,,,,,
overvaliant,1.00,904,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,"having or showing undue boldness, to a fault.",53,,,,,
overviolent,1.50,905,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,"excessively violent, using too much physical force.",51,,,,,
overwary,1.50,906,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,too cautious about possible dangers or problems.,48,,,,,
overweening,NA,NA,dropped,nope,nope,Allport Odbert - Column III,58369,"particularly forward, vain, and self-promoting.",47,,,,,
overwhelmed,NA,NA,dropped,nope,nope,Allport Odbert - Column II,7859,loaded or burdened with an excess of something.,47,,,,,
overwomanly,1.00,907,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,NA,too feminine or curvaceous.,26,,,,,
overworked,NA,NA,NA,yes,nope,Allport Odbert - Column IV,22053,exhausted after expending too much effort.,28,,,,,
overzealous,4.70,908,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,29249,"too eager in attitude or behavior, too energetic.",50,,,,,
pacifistic,2.40,909,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,89641,holding the belief that war and violence are unjustifiable; peaceable.,69,,,,,
pacifying,NA,NA,dropped,nope,nope,Allport Odbert - Column II,55135,appeasing; satisfying temporarily.,34,,,,,
painstaking,2.70,910,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,20955,involving or using great care and detailed and diligent attention; meticulous.,78,,,,,
pandering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,26247,"prone to catering to people's lowest or least admirable desires, tendencies, or weaknesses.",91,,,,,
panicky,NA,NA,dropped,nope,nope,Allport Odbert - Column I,28187,prone to sudden overwhelming fear.,34,,,,,
paranoid,NA,NA,new,nope,nope,new,11665,unrealistically suspicious and mistrustful of others.,53,,,,,
parasitic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,23033,"habitually relying on or exploiting others, often causing resentment.",69,,,,,
parental,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,4634,characteristic of the way one treats children.,59,,,,,
parsimonious,NA,NA,Norman - category 2; form 6,nope,nope,Allport Odbert - Column I,41221,excessively frugal; stingy.,27,,,,,
participative,2.50,911,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,44900,"to take or have a part or share, as with others; partake; share.",64,,,,,
particular,4.60,912,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,649,having strong preferences concerning details; fussy; fastidious.,64,,,,,
partisan,NA,NA,new,nope,nope,new,7682,prejudiced in favor of a particular cause.,42,,,,,
passionate,6.00,913,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,6411,capable of or showing strong emotions.,38,,,,,
passionless,2.40,914,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,65681,not feeling or showing strong emotion; cold; calm; detached.,60,,,,,
passive,5.80,915,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,7045,tending to offer no resistance; submissive; compliant.,54,,,,,
paternal,NA,NA,dropped,nope,nope,Allport Odbert - Column I,18003,showing a kindness and care associated with a father.,53,,,,,
pathetic,NA,NA,NA,yes,nope,Allport Odbert - Column III,10502,"arousing feelings of pity, sorrow, or tender concern.",53,,,,,
patient,6.30,916,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,1712,willing or able to wait calmly when faced with delay or obstacles.,66,,,,,
patriarchal,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,14016,"characteristic of a system of society or government controlled by men, often sexist.",84,,,,,
patriotic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,10344,"feeling, showing, or caused by one's love for and loyalty to one's nation.",74,,,,,
patronizing,5.40,917,Norman - category 2; form 8,nope,yes,Allport Odbert - Column I,23741,showing or suggesting an offensively superior or condescending manner.,70,,,,,
peaceful,4.20,918,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,4343,tranquil; quiet.,16,,,,,
peacemaking,2.70,919,Norman - category 3; form 6,nope,yes,Allport Odbert - Column II,30582,"intended to resolve conflict, especially by reconciling adversaries.",67,,,,,
peculiar,NA,NA,dropped,nope,nope,Allport Odbert - Column III,7153,"odd, strange, or unusual.",25,,,,,
pedagogical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,13699,"concerned with teaching, often dull or overly formal.",53,,,,,
pedantic,NA,NA,Norman - category 2; form 8,nope,nope,Allport Odbert - Column I,44049,excessively displaying one's learnedness; overly insistent on scholarly details and formalities.,96,,,,,
pedestrian,NA,NA,dropped,nope,nope,Allport Odbert - Column III,13190,unimaginative or commonplace.,29,,,,,
peevish,2.40,920,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,49167,irritable or easily annoyed; ill-tempered.,42,,,,,
penetrative,1.30,921,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,67500,having or showing deep understanding and insight.,48,,,,,
penitent,NA,NA,dropped,nope,nope,Allport Odbert - Column I,48663,feeling or showing sorrow or regret for having done wrong.,58,,,,,
penny-wise,NA,NA,Norman - category 3; form 6,nope,nope,Allport Odbert - Column I,85221,skilled or careful in small or trivial matters.,47,,,,,
pensive,3.50,922,Norman - category 2; form 7,nope,yes,Allport Odbert - Column I,27447,thoughtful in a sad or deeply serious way.,42,,,,,
peppery,1.50,923,Norman - category 3; form 8,nope,yes,Allport Odbert - Column III,36753,easily angered; hot-headed.,27,,,,,
peppy,3.80,924,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,43183,full of energy; lively; animated.,40,,,,,
perceiving,NA,NA,new,nope,nope,new,20884,"observing, distinguishing, or grasping and comprehending what something is.",75,,,,,
perceptive,5.20,925,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,22408,marked by insight or understanding.,40,,,,,
perfectionistic,5.40,926,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,54260,a person who refuses to accept any standard short of flawless.,63,,,,,
peripatetic,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,41988,walking or traveling around; going from place to place; itinerant.,66,,,,,
perky,5.10,927,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,27483,"lively, jaunty, or pert.",24,,,,,
persecuting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,47676,prone to annoying or bothering persistently; pestering.,55,,,,,
persecutive,2.00,928,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,to annoy or trouble persistently.,32,,,,,
persevering,4.00,929,Norman - category 2; form 6,nope,yes,Allport Odbert - Column I,48450,steadfast in following a course of action or holding a belief; tenacious; persistent.,85,,,,,
persistent,5.20,930,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,6442,"continuing, lasting, or holding on, despite opposition or difficulties.",71,,,,,
personable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,28957,pleasing in appearance or manner; friendly; attractive.,55,,,,,
perspectiveless,1.40,931,Norman - category 3; form 8,nope,yes,Allport Odbert - Column IV,NA,"lacking a particular attitude, opinion or point of view.",68,,,,,
perspicacious,NA,NA,Norman - category 2; form 9,nope,nope,Allport Odbert - Column III,66122,keenly perceptive or understanding; discerning.,47,,,,,
persuadable,2.50,932,NA,yes,nope,not included,80975,easily convinced by sound reasoning; amenable.,26,,,,,
persuasive,4.90,933,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,11427,having the ability to cause another to do or believe something.,63,,,,,
pert,2.00,934,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,33849,impudent or saucy.,18,,,,,
perturbable,1.70,935,Norman - category 2; form 10,nope,yes,Allport Odbert - Column I,NA,able to be disrupted or thrown off.,35,,,,,
perverse,NA,NA,dropped,nope,nope,Allport Odbert - Column I,14332,stubbornly opposed to what is expected or requested.,52,,,,,
perverted,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,31602,being opposite to or different from what is considered right or proper; wicked; distorted.,90,,,,,
pesky,NA,NA,dropped,nope,nope,Allport Odbert - Column III,24052,pestering or annoying.,22,,,,,
pessimistic,6.00,936,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,13614,tending to expect unfavorable outcomes.,39,,,,,
petty,5.00,937,Norman - category 1; form 10,nope,yes,Allport Odbert - Column III,8316,"mean, or inclined to meanness; small-minded; spiteful.",54,,,,,
petulant,NA,NA,Norman - category 2; form 6,nope,nope,Allport Odbert - Column I,34885,peevish or sulky; tending to show sudden or unreasonable irritation or ill temper.,95,,,,,
philandering,NA,NA,Norman - category 2; form 7,nope,nope,Allport Odbert - Column II,38262,"prone to having or seeking casual love affairs, especially while married.",73,,,,,
philanthropic,3.40,938,Norman - category 2; form 8,nope,yes,Allport Odbert - Column I,21399,"promoting the welfare of others, especially through donation of money to good causes.",49,,,,,
philosophical,4.40,939,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,5676,"tending to focus on the nature and principles of knowledge, truth, and existence.",81,,,,,
philosophizing,2.00,940,Norman - category 3; form 10,nope,yes,Allport Odbert - Column II,58970,"one who speculates or theorizes, especially in a tedious or pompous way.",72,,,,,
phony,NA,NA,NA,yes,nope,Allport Odbert - Column III,11633,not real or genuine; fake.,37,,,,,
physical,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,679,finding or seeking pleasure or comfort in contact with others.,59,,,,,
picky,5.70,941,Norman - category 3; form 12,nope,yes,not included,22997,"fussy, meticulous, or difficult to please.",42,,,,,
piggish,NA,NA,dropped,nope,nope,Allport Odbert - Column III,83494,"greedy, sloppy, dirty, or boorish.",34,,,,,
pigheaded,5.10,942,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,68551,obstinate; stubborn.,20,,,,,
pioneering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,12058,new and daring; innovative.,27,,,,,
pious,2.80,943,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,17895,devoted to and dutiful toward a god or gods; religious.,55,,,,,
pithy,NA,NA,Norman - category 2; form 10,nope,nope,Allport Odbert - Column III,33972,exactly and concisely appropriate; effective; forceful.,55,,,,,
pitiless,2.10,944,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,39307,having or demonstrating no mercy; ruthless.,51,,,,,
placating,NA,NA,dropped,nope,nope,Allport Odbert - Column II,50381,pacifying; conciliatory; appeasing.,35,,,,,
placid,2.30,945,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,17357,"calm, smooth, or tranquil.",26,,,,,
plain,NA,NA,NA,yes,nope,Allport Odbert - Column III,4193,not complicated or elaborate; without extra additions; simple.,62,,,,,
plain-dealing,1.60,946,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,conducting business or similar transactions in a straightforward manner.,76,,,,,
plain-spoken,3.30,947,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,58617,saying exactly what one believes; frank; blunt.,47,,,,,
planful,1.90,948,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,"organized, systematic.",75,,,,,
planless,1.20,949,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,having no aims.,21,,,,,
platitudinous,NA,NA,Norman - category 2; form 6,nope,nope,Allport Odbert - Column I,93711,hackneyed; characteristic of one who frequently repeats trite platitudes.,73,,,,,
playful,5.00,950,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,11058,cheerfully energetic.,21,,,,,
pleasant,6.00,951,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,4545,having a friendly manner.,25,,,,,
pleased,NA,NA,NA,yes,nope,Allport Odbert - Column II,4107,made satisfied or happy.,24,,,,,
pleasing,NA,NA,NA,yes,nope,Allport Odbert - Column III,12122,giving enjoyment or satisfaction; likable; agreeable.,53,,,,,
pleasure-loving,NA,NA,new,nope,nope,new,NA,enjoying activities that stimulate the senses rather than the intellect.,72,,,,,
pleasure-seeking,3.60,952,Norman - category 3; form 14 (revised by Goldberg & Norman from 'pleasure-seeker'),nope,yes,not included,78617,seeking amusement or enjoyment.,30,,,,,
pliable,1.70,953,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,31337,reacting easily to changing conditions; adaptable.,50,,,,,
pliant,1.30,954,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,40472,easily flexed; supple.,22,,,,,
plodding,NA,NA,dropped,nope,nope,Allport Odbert - Column II,29217,"moving slowly or heavily, as if with weariness or reluctance; trudging.",71,,,,,
plotting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,13567,"planning in secret, especially legal or hostile schemes.",56,,,,,
plucky,1.90,955,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,38116,spirited and courageous in the face of difficulty.,50,,,,,
poetic,3.30,956,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,8745,having an imaginative or sensitively emotional style of expression.,34,,,,,
poised,4.40,957,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,8287,having a composed and self-assured manner.,41,,,,,
polemical,NA,NA,Norman - category 2; form 11,nope,nope,new,31882,adopting a controversial or disputatious position.,50,,,,,
polished,3.90,958,Norman - category 3; form 8,nope,yes,Allport Odbert - Column III,9792,"refined, elegant, or flawless.",30,,,,,
polite,6.20,959,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,6838,demonstrating propriety or thoughtfulness; well-trained in deportment; courteous.,84,,,,,
political,4.30,960,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,240,interested in or active in governmental or public affairs.,77,,,,,
